"time","Q"
13140,-53.3042
13150,-53.3103
13160,-53.3164
13170,-53.3225
13180,-53.3285
13190,-53.3345
13200,-53.3405
13210,-53.3466
13220,-53.3525
13230,-53.3585
13240,-53.3645
13250,-53.3704
13260,-53.3763
13270,-53.3822
13280,-53.3881
13290,-53.394
13300,-53.3998
13310,-53.4056
13320,-53.4115
13330,-53.4172
13340,-53.423
13350,-53.4288
13360,-53.4346
13370,-53.4403
13380,-53.446
13390,-53.4517
13400,-53.4573
13410,-53.463
13420,-53.4687
13430,-53.4743
13440,-53.4799
13450,-53.4855
13460,-53.4911
13470,-53.4967
13480,-53.5022
13490,-53.5077
13500,-53.5132
13510,-53.5187
13520,-53.5242
13530,-53.5297
13540,-53.5351
13550,-53.5405
13560,-53.546
13570,-53.5514
13580,-53.5567
13590,-53.5621
13600,-53.5675
13610,-53.5728
13620,-53.5781
13630,-53.5834
13640,-53.5887
13650,-53.594
13660,-53.5992
13670,-53.6045
13680,-53.6097
13690,-53.6149
13700,-53.6201
13710,-53.6253
13720,-53.6304
13730,-53.6356
13740,-53.6407
13750,-53.6458
13760,-53.6509
13770,-53.656
13780,-53.6611
13790,-53.6661
13800,-53.6711
13810,-53.6762
13820,-53.6812
13830,-53.6861
13840,-53.6911
13850,-53.6961
13860,-53.701
13870,-53.706
13880,-53.7109
13890,-53.7158
13900,-53.7206
13910,-53.7255
13920,-53.7304
13930,-53.7352
13940,-53.74
13950,-53.7448
13960,-53.7496
13970,-53.7544
13980,-53.7592
13990,-53.7639
14000,-53.7686
14010,-53.7733
14020,-53.7781
14030,-53.7828
14040,-53.7874
14050,-53.7921
14060,-53.7967
14070,-53.8013
14080,-53.806
14090,-53.8106
14100,-53.8152
14110,-53.8197
14120,-53.8243
14130,-53.8288
14140,-53.8333
14150,-53.8379
14160,-53.8423
14170,-53.8469
14180,-53.8513
14190,-53.8558
14200,-53.8602
14210,-53.8646
14220,-53.8691
14230,-53.8734
14240,-53.8778
14250,-53.8822
14260,-53.8865
14270,-53.8909
14280,-53.8952
14290,-53.8995
14300,-53.9038
14310,-53.9081
14320,-53.9124
14330,-53.9166
14340,-53.9209
14350,-53.9251
14360,-53.9293
14370,-53.9335
14380,-53.9377
14390,-53.9419
14400,-53.9461
14410,-53.9502
14420,-53.9543
14430,-53.9585
14440,-53.9626
14450,-53.9667
14460,-53.9707
14470,-53.9748
14480,-53.9789
14490,-53.9829
14500,-53.9869
14510,-53.9909
14520,-53.995
14530,-53.9989
14540,-54.0029
14550,-54.0069
14560,-54.0108
14570,-54.0147
14580,-54.0187
14590,-54.0226
14600,-54.0265
14610,-54.0303
14620,-54.0342
14630,-54.038
14640,-54.0419
14650,-54.0457
14660,-54.0495
14670,-54.0533
14680,-54.0571
14690,-54.0609
14700,-54.0647
14710,-54.0684
14720,-54.0721
14730,-54.0759
14740,-54.0796
14750,-54.0833
14760,-54.087
14770,-54.0906
14780,-54.0943
14790,-54.0979
14800,-54.1016
14810,-54.1052
14820,-54.1088
14830,-54.1124
14840,-54.116
14850,-54.1196
14860,-54.1231
14870,-54.1267
14880,-54.1302
14890,-54.1337
14900,-54.1372
14910,-54.1407
14920,-54.1442
14930,-54.1477
14940,-54.1512
14950,-54.1546
14960,-54.1581
14970,-54.1615
14980,-54.1649
14990,-54.1683
15000,-54.1716
15010,-54.175
15020,-54.1784
15030,-54.1817
15040,-54.1851
15050,-54.1884
15060,-54.1917
15070,-54.195
15080,-54.1983
15090,-54.2016
15100,-54.2049
15110,-54.2081
15120,-54.2113
15130,-54.2146
15140,-54.2178
15150,-54.221
15160,-54.2242
15170,-54.2274
15180,-54.2306
15190,-54.2337
15200,-54.2369
15210,-54.24
15220,-54.2431
15230,-54.2463
15240,-54.2493
15250,-54.2524
15260,-54.2555
15270,-54.2586
15280,-54.2617
15290,-54.2647
15300,-54.2677
15310,-54.2707
15320,-54.2737
15330,-54.2767
15340,-54.2797
15350,-54.2827
15360,-54.2857
15370,-54.2886
15380,-54.2916
15390,-54.2945
15400,-54.2974
15410,-54.3003
15420,-54.3032
15430,-54.3061
15440,-54.309
15450,-54.3118
15460,-54.3147
15470,-54.3175
15480,-54.3204
15490,-54.3232
15500,-54.326
15510,-54.3288
15520,-54.3316
15530,-54.3344
15540,-54.3371
15550,-54.3399
15560,-54.3426
15570,-54.3454
15580,-54.3481
15590,-54.3508
15600,-54.3535
15610,-54.3562
15620,-54.3589
15630,-54.3615
15640,-54.3642
15650,-54.3668
15660,-54.3695
15670,-54.3721
15680,-54.3747
15690,-54.3773
15700,-54.3799
15710,-54.3825
15720,-54.3851
15730,-54.3876
15740,-54.3902
15750,-54.3927
15760,-54.3952
15770,-54.3978
15780,-54.4003
15790,-54.4028
15800,-54.4053
15810,-54.4078
15820,-54.4102
15830,-54.4127
15840,-54.4151
15850,-54.4175
15860,-54.42
15870,-54.4224
15880,-54.4248
15890,-54.4272
15900,-54.4296
15910,-54.432
15920,-54.4343
15930,-54.4367
15940,-54.439
15950,-54.4414
15960,-54.4437
